russian_city_name,english_city_name
Смоленская,Smolenskaya
Сим,Sim
Бижбуляк,Bizhbulyak
Юца,Yutz
Никологоры,Nicologory
Усть-Кинельский,Ust-Kinelsky
Сумкино,Sukhkino
Асекеево,Asekeyevo
Здвинск,Zdvinsk
Карагай,Karagai
Спокойная,Calm
Смышляевка,Smyshlyaevka
Целинное,Virgin
Толбазы,Tolbagy
Еланский,Yelanskiy
Кондратово,Kondratovo
Архангельское,Arkhangelskoye
Девица,The Maiden
Некрасовская,Nekrasovskaya
Липки,Limes
Борисоглебский,Borisoglebsky
Хохол,Khokhol
Вышестеблиевская,Vyshesteblievskaya
Темиргоевская,Temirgoevskaya
Мраково,Mrakowo
Шигоны,Shigons
Солтон,Salton
Благовещенка,Annunciation
Каргат,Kargath
Бирюсинск,Biryusinsk
Троицкий,Troitsky
Верхнеяркеево,Verkhnejarkevo
Кисляковская,Kislyakovskaya
Кулунда,Kulunda
Сергиевск,Sergievsk
Нязепетровск,Nyazepetrovsk
Октябрьская,The October
Новоорск,Novoorsk
Городищи,Townships
Преображенская,Preobrazhenskaya
Усть-Ишим,Ust-Ishim
Пелагиада,Pelagiada
Свободы,Freedom
Маньково-Калитвенское,Mankovo-Kalitva
Попутная,Passable
Бобровский,Bobrovsky
Новолеушковская,Novoleushkovskaya
Юго-Камский,South-Kamsky
Бессоновка,Bessonovka
Сладково,Sladkovo
Дубовское,Dubovskoe
Цементный,Cement
Верхнее Дуброво,Upper Dubrovo
Сибирский,Siberian
Гостагаевская,Gostagayevskaya
Ясная Поляна,Yasnaya Polyana
Прибельский,Pribelsky
Нижние Серги,Lower Sergi
Большегривское,Bolshygriv
Вагай,Vagay
Купино,Kupino
Питерка,Piterka
Сокольники,Sokolniki
Арсеньево,Arsenyevo
Усть-Ордынский,Ust-Orda
Новоплатнировская,Novoplatyrovskaya
Новоблагодарное,Thanksgiving
Новоомский,Novoomsky
Акъяр,Akyar
Княгинино,Knyaginino
Кировская,Kirov
Тевриз,Tevryz
Ладовская Балка,Ladovsky Beam
Орда,Horde
Алзамай,Alzamay
Дуван,Duvan
Акбулак,Akbulak
Оверята,Overiata
Шаля,Chal
Шолоховский,Sholokhovsky
Новобирюсинский,Novobiryusinsky
Славск,Slavsk
Аромашево,Aromashevo
Буревестник,Burevestnik
Подбельск,Podbelsk
Калниболотская,Kalnibolotskaya
Пильна,Pilna
Каменка,Wheatear
Кавказская,Caucasian
Шабры,Shabras
Марьянская,Mariyanskaya
Елово,Elovo
Гривенская,Grivenskaya
Дружинино,Druzhinino
Милютинская,Milyutinskaya
Хрущево,Khrushchev
Зудилово,Zudilovo
Бохан,Bohan
Брейтово,Breitovo
Новоуткинск,Novotkinsk
Шаран,Sharan
Сакмара,Sakmara
Хреновое,Horseradish
Татарка,Tatar
Нововеличковская,Novolivelichkovskaya
Мундыбаш,Mundybash
Шкуринская,Shkurinskaya
Петровское,Petrovskoye
Краснотуранск,Krasnoturansk
Грицовский,Gritsovsky
Краснокумское,Krasnokumskoye
Вад,In hell
Чистоозерное,Clean
Байкалово,Baikalovo
Краснобродский,Krasnobrodsky
Роза,rose flower
Усолье,Usolye
Гигант,Giant
Еманжелинка,Emanjelinka
Благодатное,Blagodatnoe
Стройкерамика,Stroykeramika
Венцы,Crowns
Дубовый Умет,Oak Oat
Бердяуш,Berdyaush
Большая Орловка,Bolshaya Orlovka
Бродокалмак,Brodokalmak
Грачёвка,Grachevka
Бесскорбная,Unsafe
Комсомольский,Komsomol
Соломенское,Solomenskoye
Юмагузино,Yumaguzino
Алкино-2,Alkino-2
Северное,Northern
Саратовская,Saratov
Тюкалинск,Tyukalinsk
Покровское,Pokrovskoe
Кытманово,Kytmanovo
Семибратово,Semibratovo
Юкаменское,Yukamenskoe
Пышма,Pyshma
Обь,Ob
Баранчинский,Baranchinsky
Балахта,Balakhta
Латная,Latnaia
Краснохолмский,Krasnokholmsky
Сростки,Srostki
Московское,Moscow
Антипино,Antipino
Советское,Soviet
Обливская,Oblivska
Абрау-Дюрсо,Abrau Durso
Салым,Salym
Московский,Moscow
Большое Село,Big Village
Красное,Red
Большое Болдино,Great Boldino
Ачит,Achit
Фершампенуаз,Ferschampenoise
Даниловка,Danilovka
Зеленогорский,Zelenogorsk
Тасеево,Taseevo
Петропавловская,Petropavlovskaya
Кирпильская,Kirpilskaya
Большая Джалга,Big Jalga
Красногвардеец,Red Guard
Новые Зори,New Zori
Родино,Rodino
Викулово,Vikulovo
Субханкулово,Subkhankulovo
Кольцово,Koltsovo
Мишкино,Mishkino
Правокумское,The Pravocumian
Большое Сорокино,Great Sorokino
Новониколаевская,Novonikolaevskaya
Новый Буян,New Buyan
Атаманская,Atamanskaya
Переясловская,Pereyaslovskaya
Тирлянский,Tirlyansky
Старолеушковская,Staroleushkovskaya
Баево,Baevo
Маркова,Markov
Малиновка,Robin
Старомарьевка,Staromarevka
Шарлык,Sharlik
Буланаш,Bulanash
Кагальник,Kagalnik
Дорогино,Dorogino
Казанское,Kazan
Отрадное,Otradnoe
Большая Соснова,Greater Sosnov
Клявлино,Klyavlino
Горьковское,Gorkovskoye
Нижнебаканская,Lower Balkan
Роговатое,Horny
Горноуральский,Gornouuralsky
Кабаково,Kabakovo
Озинки,Ozinki
Владимирская,Vladimirskaya
Венгерово,Vengerovo
Гофицкое,Gofitskoe
Елховка,Elhovka
Балаганск,Balagansk
Родниковская,Rodnikovskaya
Новая Ляля,New Lyalya
Карагайлинский,Karagaylinsky
Горный,Mountain
Бавлены,Bavlena
Ивановское,Ivanovo
Брусянский,Brusyansky
Бурлацкое,Burlatskoe
Садовый,Garden
Цибанобалка,Cibanobalka
Верхняя Тишанка,Upper Tishanka
Верхняя Синячиха,Upper Sinyachikha
Лог,Log
Антиповка,Antipovka
Верх-Ирмень,Verh-Irmen
Уват,Uvat
Ташла,Tashla
Юрла,Jurla
Кукуштан,Kukushtan
Гамово,Gamowo
Алексеевская,Alekseevskaya
Аскино,Ascino
Новошешминск,Novosheshminsk
Чернуха,Chernukha
Мама,Mama
Большая Ирба,Bolshaya Irba
Свободный,Free
Новочернореченский,Novochernorechensky
Верхний Тагил,Upper Tagil
Пижма,Tansy
Фоки,Focky
Каз,Kaz
Кушнаренково,Kushnarenkovo
Красные Ткачи,Red Weavers
Арпачин,Arpachin
Саваслейка,Savasleika
Энергетик,Energetik
Плешаново,Pleshanovo
Зыково,Zykovo
Привольное,Privolnoye
Дядьковская,Dyadkovskaya
Филимоново,Filimonovo
Козловка,Kozlovka
Галюгаевская,Galyugaevskaya
Исеть,Iset
Подстепки,Podstepki
Шентала,Shentala
Большой Лог,Big Log
Аксаково,Aksakovo
Ремонтное,Repair
Темижбекская,Temizhbek
Верхние Серги,Upper Sergi
Дивноморское,Divnomorskoe
Верх-Нейвинский,Upper-Neuwinian
Идринское,Idrinsky
Затеречный,Zatererny
Великовечное,The Magnificent
Шалинское,Shalinsky
Русский Акташ,Russian Aktash
Скородное,Crowd
Теплое,Warm
Еланцы,Elance
Ясногорский,Yasnogorskiy
Малышева,Malysheva
Ачикулак,Achikulak
Крутиха,Krutiha
Новогорный,New Year
Оконешниково,Okoneshnikovo
Романовская,Romanovskaya
Обшаровка,Obsharovka
Роговская,Rogowska
Шедок,Shared
Новый Егорлык,New Egorlyk
Зилаир,Zilair
Стерлибашево,Sterlibashovo
Дебёсы,Debusses
Большой Улуй,Bolshoy Uluy
Лысогорская,Lysogorskaya
Кудряшовский,Kudryashovskiy
Ясенская,Yasenskaya
Барсуковская,Barsukovskaya
Коржевский,Korzhevsky
Новый,New
Красновишерск,Krasnovishersk
Абрамовка,Abramovka
Хохряки,Hohriaks
Нины,Nina
Березово,Berezovo
Ленина,Lenin
Александров Гай,Alexandrov Guy
Мулино,Mulino
Развильное,Developmental
Усть-Калманка,Ust-Kalmanka
Агой,Agoy
Пешково,Peshkovo
Гремячье,Gremyachye
Чернышковский,Chernyshkovsky
Билимбай,Bilimbai
Кропачево,Kropachevo
Базарные Матаки,Bazaar Mataki
Степное Озеро,Steppe Lake
Архангельская,Arkhangelsk
Солонешное,Solonechnoe
Киевское,Kyivskoe
Нижний Мамон,Lower Mamon
Лесная Поляна,Forest Glade
Исаклы,Isakly
Ревякино,Revyakino
Разумное,Reasonable
Федоровка,Fedorovka
Старая Полтавка,Old Poltavka
Волчиха,Wolf
Петропавловка,Petropavlovka
Усть-Кишерть,Ust-Kushert
Нижний Кисляй,Lower Kisliai
Покойное,The deceased
Богучаны,Boguchany
Ис,Is
Хворостянка,Hvorostyanka
Раевская,Raevskaya
Товарковский,Tokakovsky
Этока,Ethic
Русское,Russian
Янтарный,Amber
Курманаевка,Kurmanaevka
Винсады,Vinzady
Чунояр,Chunyar
Усть-Тарка,Ust-Tarka
Александровская,Aleksandrovskaya
Большие Уки,Great Uky
Зюкайка,Zukayka
Персиановский,Persian
Александрия,Alexandria
Верх-Тула,Upper Tula
Большеустьикинское,Bolshoy Tyukinsky
Илек,Ilek
Красюковская,Krasyukovskaya
Величаевское,Velichayevskoe
Николо-Березовка,Nikolo-Berezovka
Придонский,Pridonsky
Лобва,Lobwa
Шемордан,Shemordan
Джигинка,Jiginka
Привольная,Privolnaya
Ждановский,Zhdanovsky
Афонино,Afonino
Мингрельская,Mingrelian
Исток,Source
Тумботино,Tumbotino
Гайдук,Hajduk
Огаревка,Ogarevka
Калманка,Kalmanka
Калтасы,Caltas
Новолабинская,Novolabinskaya
Памяти 13 Борцов,In Memory of 13 Fighters
Матвеевка,Matveyevka
Краснохолм,Redholm
Трудармейский,Labor
Золотково,Zolotkovo
Подтесово,Podtesovo
Кочево,Kochevo
Елань-Колено,Elan-Knee
Любим,Love
Новорождественская,New Christmas
Бехтеевка,Bekhteevka
Зайково,Zaykovo
Рождествено,Christmas
Кедровка,Kedrovka
Вахтан,Vakhtan
Воробьевка,Vorobyevka
Улу-Теляк,Ulu-Telyak
Серноводск,Sernovodsk
Пелым,Pelym
Колтубановский,Koltubanovsky
Большая Атня,Great Atnya
Перелешинский,Perelyashinsky
Магистральный,Trunking
Отрадо-Кубанское,Otrado-Kuban
Удобная,Convenient
Мечетинская,Mechetinskaya
Бурла,Burla
Горняцкий,Gornyatsky
Успенка,Uspenka
Новоегорьевское,New Goryevsky
Калинин,Kolin
Татарская Каргала,Tatar Kargala
Семилетка,Seven Years
Старосубхангулово,Starosubhanguulovo
Бекешевская,Bekeshevskaya
Локомотивный,Locomotive
Челбасская,Chelbaska
Незлобная,Not malicious
Тинской,Tinskaya
Гайны,Gaines
Станционно-Ояшинский,Station-Oyashinsky
Уршельский,Urshelsky
Ветлужский,Vetluga
Губская,Guba
Новощербиновская,Novoshcherbinovskaya
Старобачаты,Starobachats
Подгородняя Покровка,Suburban Pokrovka
Сандата,Sandata
Горное Лоо,Mountain Loo
Дмитриевское,Dmitrievskoe
Глебовка,Glebovka
Гирей,Girey
Коноково,Konokovo
Комсомолец,Komsomolets
Кедровый,Cedar
Грахово,Grahovo
Посевная,Sowing
Приупский,Priupsky
Курья,Kurya
Партизанское,Partisan
Мелехово,Melekhovo
Лямино,Lyamino
Новая Таволжанка,New Tavolzhanka
Стрелица,Strelitza
Тайтурка,Taiturka
Армизонское,Armizonskoye
Терновская,Ternovskaya
Никольское,Nikolsky
Жигалово,Zhigalovo
Кыштовка,Kyshtovka
Кузедеево,Kuzedeevo
Нижний Чир,Lower Chir
Черемное,Cheremnoe
Павловский,Pavlovsky
Лузино,Lusino
Железнодорожный,Railway
Столбище,Column
Приморка,Primrose
Нижняя Омка,Lower Omka
Подгорная,Podgornaya
Мстера,Mstera
Спиридоновка,Spiridonovka
Колосовка,Column
Новобелокатай,Novobelokatay
Большие Чапурники,The Great Chapurniki
Туношна,The turkish
Пригородный,Suburban
Шамары,Shamary
Пировское,Pirovskoye
Волга,Volga
Мухтолово,Mukhtolovo
Адагум,Adagum
Соколово,Sokolovo
Баговская,Bagovskaya
Большие Салы,Greater Sala
Ахтанизовская,Akhtanizovskaya
Верхнебаканский,Upper Balkan
Эдиссия,Edicy
Бершеть,Tear
Углянец,Uglyaniec
Головино,Golovino
Бутка,Butcher
Орловка,Orlovka
Успенская,Assumption
Новоселово,Novoselovo
Надежда,Hope
Барышево,Baryshevo
Итатский,Itatian
Вознесенская,Ascension
Стародубское,Starodub
Улькан,Ulkan
Артышта,Artyshtas
Новохоперский,Novokhopersky
Бобровка,Bobrovka
Чермоз,Chermoz
Щелкун,The Clicker
Куяново,Kuyanovo
Тонкино,Tonkino
Быстрый Исток,Quick Source
Новобессергеневка,Novoeisserenevka
Бурмакино,Burmakino
Айша,Aisha
Баган,Bagan
Маслянино,Maslyanino
Прасковея,Praskovya
Лукино,Luchino
Павловка,Pavlovka
Нижний Ингаш,Lower Ingash
Кама,Kama
Передовая,Advanced
Новонукутский,Novonukutsk
Плеханово,Plekhanovo
Григорьевская,Grigoryevskaya
Тюбук,Tyubuk
Землянск,Zemlyansk
Балахоновское,Balakhonovskoye
Тайжина,Taiga
Шварцевский,Shvartsevsky
Красноярский,Krasnoyarsk
Березовый,Birch
Новоалексеевская,Novoalekseevskaya
Толмачево,Tolmachevo
Солуно-Дмитриевское,Soluno-Dmitrievskoe
Новосинеглазовский,Novosineglazovsky
Староалейское,Staroaleiskoe
Темясово,Temyasovo
Киренск,Kirensk
Каясула,Kayasula
Дмитриевская,Dmitrievskaya
Сотниковское,Sotnikovo
Екатериновка,Ekaterinovka
Константиновская,Konstantinovskaya
Центральный,Central
Сентябрьский,September
Горячеводский,Goryachevodsky
Двубратский,Dvubratsky
Пятницкое,Pyatnitskoye
Лесогорск,Lesogorsk
Заплавное,Zaplavnoe
Знаменское,Znamenskoe
Варнавино,Varnavino
Тогул,Togul
Петрокаменское,Petrokamenskoye
Нижняя Мактама,Lower Maktama
Георгиевка,Georgievka
Синявское,Sinyavskoe
Выездное,Outbound
Красноармейский,Red Army
Незамаевская,Nezamayevskaya
Стрелка,Arrow
Угловское,Uglovsky
Новоселезнево,Novoseleznevo
Темиртау,Temirtau
Пожва,Pozhva
Горный Щит,Mountain Shield
Горбатов,Gorbatov
Дубки,Oaks
Махнево,Makhnevo
Верх-Катунское,Upper Katun
Быстрогорский,Bystrogorsky
Бешпагир,Beshpagir
Подкумок,Podpumok
Высоцкое,Vysotsky
Червишево,Chervishevo
Темижбекский,Temizhbek
Мишелевка,Michelette
Чекалин,Chekalin
Копанская,Copan
Новобейсугская,Novoibysugskaya
Староджерелиевская,Starogzherelyevskaya
Магнитка,Magnitogorsk
Сатис,Satis
Ныроб,Nybyb
Всеволодо-Вильва,Vsevolod-Vilva
Панкрушиха,Pankrushisha
Соколовское,Sokolovskoye
Новозаведенное,Newly prepared
Тищенское,Tishchenskoye
Тюменцево,Tyumentsevo
Тюхтет,Tyuhtet
Старопавловская,Staropavlovskaya
Перелешино,Pereleshino
Береза,Birch
Барсуки,Badgers
Сокур,Sokur
Приволжский,Privolzhsky
Воронцовка,Vorontsovka
Новомалороссийская,Novomarossiyskaya
Преградное,Preventive
Локосово,Lokosovo
Нежинский,Nezhinsky
Ташара,Tashara
Виля,Vilya
Межевой,Mezhevoy
Сомово,Somovo
Воля,Will
Орел-Изумруд,Eagle-Emerald
Тыреть 1-я,Tear 1st
Марьинская,Maryinskaya
Юрты,Yurt
Дракино,Drakino
Барсово,Barsovo
Сухобезводное,Dry-watered
Северо-Енисейский,The North-Yenisei
Гусевский,Gusevsky
Андрюки,Andryuki
Курьи,Kuryi
Гари,Gary
Довольное,Satisfied
Орлово,Orlovo
Новобирилюссы,Newbirilussa
Белогорск,Belogorsk
Кваркено,Quarkeno
Высокий,Tall
Овсянка,Oatmeal
Чаны,Vans
Казачинское,Kazachinskoye
Убинское,Ubinskoe
Михайловская,Mikhailovskaya
Николаевка,Mykolaivka
Байкит,Baikit
Николаевская,Mykolayiv
Подгорное,Podgornoye
Суроватиха,Surovatyha
Дзержинское,Dzerzhinskoye
Чарышское,Charyshsky
Красный Коммунар,Red Communard
Луговской,Lugovskoy
Юровка,Yurovka
Белозерный,White-grain
Гидроторф,Hydrotorf
Чистогорский,Chistogorsky
Красная Горка,Red hill
Летник,Letnik
Иргаклы,Irgakly
Майкопское,Maikop
Левиха,Levicha
Мартюш,Martyush
Матмасы,Matmasi
Иловка,Ilovka
Новоильинский,Novoiliinsky
Сарс,Sars
Канглы,Kangli
Калья,Kalla
Дмитриевка,Dmitrievka
Алексеевск,Alekseevsk
Рудногорск,Rudnogorsk
Лосево,Losevo
Высокое,High
Игарка,Igarka
Северка,Severka
Ковалевское,Kovalevskoye
Углеуральский,Ugleuralsky
Горноправдинск,Gornopravdinsk
Туруханск,Turukhansk
Инзер,Inzer
Новоукраинский,New Ukrainian
Нижняя Пойма,Lower Poyma
Нагутское,Nagut
Сява,Syava
Черноерковская,Chernokerovskaya
Унъюган,Unyugan
Дружба,friendship
Гремячево,Gremyachevo
Мотыгино,Motygino
Нижнетроицкий,Nizhnetroitsky
Чернолесское,Chernolenskoe
Кочки,Hummock
Анджиевский,Andzhievsky
Пирогово,Pirogovo
Прикубанский,Prikubansky
Упорная,Persistent
Круглолесское,Kruglolesskoye
Бетьки,Betki
Заветный,Cherished
Хатанга,Khatanga
Синегорский,Sinegorsky
Совхозный,State farm
Уфимский,Ufa
Ишня,Ishnya
Красногвардейский,Krasnogvardeysky
Заводоуспенское,Zavodoupenskoe
Память Парижской Коммуны,Memory of the Paris Commune
Савинка,Savinka
Отрадо-Ольгинское,Otrado-Olginsky
Мортка,Mortka
Кошурниково,Koshurnikovo
Керчевский,Kerchevsky
Марковский,Markovsky
Засосна,Sucking
Лебяжье,Swabian
Сухая Буйвола,Dry Buffalo
Теплая Гора,Warm Mountain
Восточный,Oriental
Черемухово,Cheremukhovo
Пашия,Pashia
Левокумка,Levokumka
Онохино,Onohino
Ломинцевский,Lomintsevsky
